 Team, GP,W, L, OT, P, ROW, HROW, RROW, P%, G/G, GA/G, 5-5 F/A, PP%, PK%, S/G, SA/G, Sc 1%, Tr 1st%, Ld 1%, Ld 2%, OS%, OSB%, FO%, Total: GF, PPF, NT+, GA, PPA, NT-, +/-,SF%,FF,FA,FF60,FA60,FF%,CF,CA,CF60,CA60,CF%,Sh%,Sv%,PDO,OZFO%,DZFO%,NZFO%,Total: Hits,BkS,MsS,GvA,TkA,FOW,FOL,FO%, Score 1st: W,  Score 1st: L,  Score 1st: OT, Score 1st: W%, Trail 1st: W, Trail 1st: L, Trail 1st: OT, Trail 1st: W%
MONTREAL,48,29,14,5,63,26,13,13,0.656,3.04,2.58,1.25,20.7,79.8,30.6,26.9,0.724,0.421,0.789,0.81,0.606,0.6,49.8,146,42,104,124,35,89,15,53,1534,1331,42.1,36.5,53.5,2114,1885,58,51.7,52.9,8.89,92.05,1009,31.3,29.8,38.9,1067,702,580,394,260,1499,1514,49.8,21,5,3,0.724,8,9,2,0.421
NASHVILLE,48,16,23,9,41,14,11,3,0.427,2.27,2.77,0.91,17.1,75.5,25.9,27.8,0.611,0.167,0.636,0.8,0.368,0.269,49.7,109,24,85,133,34,99,-14,48.1,1342,1489,34.5,38.3,47.4,1798,2051,46.3,52.8,46.7,7.57,92.13,997,28.4,36.8,34.8,995,703,464,388,314,1381,1396,49.7,11,2,5,0.611,5,21,4,0.167
NEW JERSEY,48,19,19,10,48,17,11,6,0.5,2.29,2.54,0.86,15.9,81.1,28.4,23.1,0.737,0.172,0.727,0.75,0.457,0.25,48.2,110,28,82,122,32,90,-8,54.2,1416,1127,37.7,30,55.7,1896,1495,50.5,39.8,55.9,6.33,91.2,975,30.6,27.9,41.5,892,515,558,334,297,1339,1440,48.2,14,1,4,0.737,5,18,6,0.172
NY ISLANDERS,48,24,17,7,55,20,9,11,0.573,2.81,2.83,0.98,19.9,80.3,30.9,28.2,0.739,0.28,0.813,0.842,0.556,0.4,49.7,135,31,104,136,28,108,-4,52.5,1588,1539,40.5,39.3,50.8,2169,2174,55.4,55.5,49.9,8.01,90.93,990,31.5,29.7,38.8,1018,766,526,475,382,1369,1385,49.7,17,3,3,0.739,7,14,4,0.28
NY RANGERS,48,26,18,4,56,22,13,9,0.583,2.62,2.25,1.3,15.7,81.1,30.9,28.2,0.857,0.296,0.929,1,0.556,0.524,50,126,24,102,108,28,80,22,54,1673,1456,43.1,37.5,53.5,2252,2081,58,53.6,52,7.42,93.51,1009,34.9,29.5,35.6,1413,773,566,334,271,1410,1410,50,18,2,1,0.857,8,16,3,0.296
OTTAWA,48,25,17,6,56,21,12,9,0.583,2.33,2.08,1.03,15.9,88,33.1,31.3,0.72,0.304,0.667,0.905,0.5,0.5,49.2,112,25,87,100,20,80,7,52.2,1682,1509,45,40.3,52.7,2304,1994,61.6,53.3,53.6,6.01,93.44,994,34.6,28.6,36.8,1307,616,598,400,312,1420,1469,49.2,18,5,2,0.72,7,12,4,0.304
PHILADELPHIA,48,23,22,3,49,22,14,8,0.51,2.75,2.9,0.86,21.6,85.9,29,28.6,0.692,0.227,0.765,0.85,0.52,0.45,48.5,132,37,95,139,26,113,-18,49.2,1417,1546,38.6,42.1,47.8,1943,2139,52.9,58.3,47.6,7.91,91.03,989,27,33.5,39.5,1316,784,521,382,255,1408,1493,48.5,18,6,2,0.692,5,16,1,0.227
PHOENIX,48,21,18,9,51,17,12,5,0.531,2.52,2.6,1.06,14.8,79.9,30.9,30.6,0.737,0.241,0.813,0.938,0.478,0.391,52,121,25,96,125,34,91,5,50.3,1646,1597,43.6,42.3,50.8,2173,2117,57.6,56.1,50.6,7.42,92.93,1004,33.9,30.5,35.6,1260,689,602,252,302,1482,1367,52,14,1,4,0.737,7,17,5,0.241
PITTSBURGH,48,36,12,0,72,33,17,16,0.75,3.38,2.48,1.35,24.7,79.6,30,29.2,0.806,0.647,0.84,0.95,0.808,0.7,51.5,162,42,120,119,34,85,35,50.1,1528,1533,40.5,40.6,49.9,2040,2120,54.1,56.2,49,9.65,93.31,1030,29.6,32.3,38,1229,735,547,298,227,1489,1404,51.5,25,6,0,0.806,11,6,0,0.647
SAN JOSE,48,25,16,7,57,17,12,5,0.594,2.42,2.33,1,20.1,85,31.8,29,0.8,0.217,0.824,0.833,0.571,0.438,53.4,116,34,82,112,22,90,-8,51.8,1644,1520,42.8,39.5,52,2256,2144,58.7,55.8,51.3,6.69,92.9,996,32.8,32.5,34.7,1031,800,633,477,343,1607,1403,53.4,20,3,2,0.8,5,13,5,0.217
ST LOUIS,48,29,17,2,60,24,13,11,0.625,2.58,2.38,1.04,19.5,84.7,27.8,24.2,0.793,0.316,0.789,0.905,0.586,0.611,50.7,124,29,95,114,23,91,4,53.8,1454,1267,38.4,33.5,53.4,1948,1784,51.5,47.2,52.2,7.78,91.5,993,33.5,31.6,34.9,1120,677,539,219,292,1438,1397,50.7,23,5,1,0.793,6,12,1,0.316
TAMPA BAY,48,18,26,4,40,17,11,6,0.417,3.06,3.06,1.08,19,80.6,27.6,30.2,0.684,0.172,0.813,0.786,0.389,0.37,51.2,147,31,116,147,30,117,-1,47.9,1450,1624,38.1,42.7,47.2,1920,2150,50.5,56.5,47.2,9.71,91.51,1012,28.5,32.1,39.4,1105,680,503,396,316,1500,1432,51.2,13,6,0,0.684,5,20,4,0.172
TORONTO,48,26,17,5,57,26,13,13,0.594,3.02,2.67,1.05,18.7,87.9,26.3,32.3,0.594,0.438,0.727,0.87,0.417,0.583,50,145,31,114,128,19,109,5,43.8,1395,1778,36.8,47,44,1927,2444,50.9,64.5,44.1,10.57,92.39,1030,26.8,35.6,37.7,1626,826,547,554,329,1477,1474,50,19,9,4,0.594,7,8,1,0.438
VANCOUVER,48,26,15,7,59,21,11,10,0.615,2.54,2.4,1.02,15.8,84,28.1,28.9,0.645,0.353,0.714,0.783,0.5,0.556,47.6,122,26,96,115,27,88,8,49,1454,1438,38.6,38.2,50.3,1991,1879,52.9,49.9,51.4,7.95,92.54,1005,32.5,31.8,35.7,1020,566,563,342,324,1365,1503,47.6,20,6,5,0.645,6,9,2,0.353
WASHINGTON,48,27,18,3,57,24,14,10,0.594,3.04,2.71,1.07,26.8,77.9,28.1,32.3,0.654,0.455,0.8,0.864,0.786,0.471,50.8,146,44,102,130,36,94,8,47.3,1479,1563,38.8,41,48.6,2043,2150,53.5,56.3,48.7,8.6,92.8,1014,30.5,34,35.5,1091,765,553,403,307,1484,1439,50.8,17,8,1,0.654,10,10,2,0.455
WINNIPEG,48,24,21,3,51,22,12,10,0.531,2.62,2.94,0.9,13.8,79.7,28.9,29.7,0.696,0.32,0.833,0.9,0.6,0.423,48.9,126,20,106,141,28,113,-7,48.6,1596,1642,40.7,41.8,49.3,2194,2239,55.9,57.1,49.5,8.31,91.27,996,30.8,31.8,37.5,1411,713,608,378,289,1344,1402,48.9,16,6,1,0.696,8,15,2,0.32
