TEAM,DIV, GP, W, L, OT, P, ROW, GF, GA, DIFF, HOME, AWAY, S/O, L10, STREAK
 BUFFALO,NE,48,21,21,6,48,14,125,143,-18,11-10-3,10-11-3,7-4,6-4-0,WON 2
 CALGARY,NW,48,19,25,4,42,19,128,160,-32,13-9-2,6-16-2,0-3,5-5-0,LOST 3
 CAROLINA,SE,48,19,25,4,42,18,128,160,-32,9-14-1,10-11-3,1-1,3-5-2,LOST 1
 COLORADO,NW,48,16,25,7,39,14,116,152,-36,12-9-3,4-16-4,2-2,4-4-2,LOST 1
 COLUMBUS,CEN,48,24,17,7,55,19,120,119,1,14-5-5,10-12-2,5-4,8-2-0,WON 3
 DALLAS,PAC,48,22,22,4,48,20,130,142,-12,11-11-2,11-11-2,2-1,4-5-1,LOST 3
 EDMONTON,NW,48,19,22,7,45,17,125,134,-9,9-11-4,10-11-3,2-3,3-7-0,WON 2
 FLORIDA,SE,48,15,27,6,36,12,112,171,-59,8-11-5,7-16-1,3-1,3-7-0,WON 1
 NASHVILLE,CEN,48,16,23,9,41,14,111,139,-28,11-9-4,5-14-5,2-6,1-8-1,LOST 2
 NEW JERSEY,ATL,48,19,19,10,48,17,112,129,-17,13-9-2,6-10-8,2-7,4-5-1,LOST 1
 P - CHICAGO,CEN,48,36,7,5,77,30,155,102,53,18-3-3,18-4-2,6-5,7-2-1,LOST 1
 PHILADELPHIA,ATL,48,23,22,3,49,22,133,141,-8,15-7-2,8-15-1,1-2,6-4-0,WON 4
 PHOENIX,PAC,48,21,18,9,51,17,125,131,-6,14-8-2,7-10-7,4-6,4-3-3,WON 1
 TAMPA BAY,SE,48,18,26,4,40,17,148,150,-2,12-10-2,6-16-2,1-3,2-6-2,LOST 2
 WINNIPEG,SE,48,24,21,3,51,22,128,144,-16,13-10-1,11-11-2,2-3,6-3-1,LOST 2
 X - BOSTON,NE,48,28,14,6,62,24,131,109,22,16-5-3,12-9-3,4-3,3-5-2,LOST 1
 X - DETROIT,CEN,48,24,16,8,56,22,124,115,9,13-7-4,11-9-4,2-5,5-2-3,WON 4
 X - LOS ANGELES,PAC,48,27,16,5,59,25,133,118,15,19-4-1,8-12-4,2-4,5-3-2,WON 1
 X - MINNESOTA,NW,48,26,19,3,55,22,122,127,-5,14-8-2,12-11-1,4-2,4-5-1,WON 1
 X - NY ISLANDERS,ATL,48,24,17,7,55,20,139,139,E,10-11-3,14-6-4,4-3,6-1-3,OT 1
 X - NY RANGERS,ATL,48,26,18,4,56,22,130,112,18,16-6-2,10-12-2,4-4,7-3-0,WON 2
 X - OTTAWA,NE,48,25,17,6,56,21,116,104,12,15-6-3,10-11-3,4-4,6-4-0,WON 1
 X - SAN JOSE,PAC,48,25,16,7,57,17,124,116,8,17-2-5,8-14-2,8-4,5-5-0,LOST 2
 X - ST. LOUIS,CEN,48,29,17,2,60,24,129,115,14,15-8-1,14-9-1,5-1,7-3-0,WON 3
 X - TORONTO,NE,48,26,17,5,57,26,145,133,12,13-9-2,13-8-3,0-5,5-4-1,LOST 1
 Y - ANAHEIM,PAC,48,30,12,6,66,24,140,118,22,16-7-1,14-5-5,6-3,5-4-1,LOST 1
 Y - MONTR?AL,NE,48,29,14,5,63,26,149,126,23,14-7-3,15-7-2,3-2,4-6-0,WON 2
 Y - VANCOUVER,NW,48,26,15,7,59,21,127,121,6,15-6-3,11-9-4,5-6,5-4-1,LOST 2
 Y - WASHINGTON,SE,48,27,18,3,57,24,149,130,19,15-8-1,12-10-2,3-0,8-1-1,WON 1
 Z - PITTSBURGH,ATL,48,36,12,0,72,33,165,119,46,18-6-0,18-6-0,3-0,8-2-0,WON 1
