"playid"	"period"	"strength"	"time"	"event"	"description"	"player1visitor"	"player2visitor"	"player3visitor"	"player4visitor"	"player5visitor"	"player6visitor"	"player1posvisitor"	"player2posvisitor"	"player3posvisitor"	"player4posvisitor"	"player5posvisitor"	"player6posvisitor"	"player1home"	"player2home"	"player3home"	"player4home"	"player5home"	"player6home"	"player1poshome"	"player2poshome"	"player3poshome"	"player4poshome"	"player5poshome"	"player6poshome"
"81"	81	1	" "	"12:107:50"	"STOP"	"ICING"	"81"	"17"	"22"	"74"	"79"	"31"	"C"	"R"	"R"	"D"	"D"	"G"	"46"	"12"	"17"	"27"	"33"	"40"	"C"	"R"	"L"	"D"	"D"	"G"
"82"	82	1	"EV"	"12:107:50"	"FAC"	"MTL won Def. Zone - MTL #81 ELLER vs BOS #37 BERGERON"	"81"	"17"	"22"	"74"	"79"	"31"	"C"	"R"	"R"	"D"	"D"	"G"	"37"	"63"	"18"	"27"	"33"	"40"	"C"	"C"	"R"	"D"	"D"	"G"
"83"	83	1	"EV"	"12:267:34"	"HIT"	"MTL #22 WEISE HIT BOS #63 MARCHAND, Off. Zone"	"81"	"17"	"22"	"26"	"76"	"31"	"C"	"R"	"R"	"D"	"D"	"G"	"37"	"63"	"18"	"27"	"33"	"40"	"C"	"C"	"R"	"D"	"D"	"G"
"84"	84	1	" "	"12:307:30"	"STOP"	"ICING"	"81"	"17"	"20"	"26"	"76"	"31"	"C"	"R"	"L"	"D"	"D"	"G"	"37"	"63"	"18"	"27"	"33"	"40"	"C"	"C"	"R"	"D"	"D"	"G"
"85"	85	1	"EV"	"12:307:30"	"FAC"	"BOS won Def. Zone - MTL #14 PLEKANEC vs BOS #37 BERGERON"	"14"	"20"	"49"	"26"	"76"	"31"	"C"	"L"	"L"	"D"	"D"	"G"	"37"	"63"	"18"	"27"	"33"	"40"	"C"	"C"	"R"	"D"	"D"	"G"
"86"	86	1	"EV"	"12:387:22"	"SHOT"	"BOS ONGOAL - #18 SMITH, Tip-In, Off. Zone, 25 ft."	"14"	"20"	"49"	"26"	"76"	"31"	"C"	"L"	"L"	"D"	"D"	"G"	"37"	"63"	"18"	"43"	"55"	"40"	"C"	"C"	"R"	"D"	"D"	"G"
"87"	87	1	" "	"12:387:22"	"STOP"	"ICING"	"14"	"20"	"49"	"26"	"76"	"31"	"C"	"L"	"L"	"D"	"D"	"G"	"37"	"63"	"18"	"43"	"55"	"40"	"C"	"C"	"R"	"D"	"D"	"G"
"88"	88	1	"EV"	"12:387:22"	"FAC"	"BOS won Off. Zone - MTL #14 PLEKANEC vs BOS #46 KREJCI"	"14"	"20"	"49"	"26"	"76"	"31"	"C"	"L"	"L"	"D"	"D"	"G"	"46"	"12"	"17"	"43"	"55"	"40"	"C"	"R"	"L"	"D"	"D"	"G"
"89"	89	1	"EV"	"12:457:15"	"BLOCK"	"BOS #55 BOYCHUK BLOCKED BY  MTL #49 BOURNIVAL, Slap, Def. Zone"	"14"	"20"	"49"	"26"	"76"	"31"	"C"	"L"	"L"	"D"	"D"	"G"	"46"	"12"	"17"	"43"	"55"	"40"	"C"	"R"	"L"	"D"	"D"	"G"
"90"	90	1	"EV"	"12:457:15"	"SHOT"	"BOS ONGOAL - #55 BOYCHUK, Wrist, Off. Zone, 31 ft."	"14"	"20"	"49"	"26"	"76"	"31"	"C"	"L"	"L"	"D"	"D"	"G"	"46"	"12"	"17"	"43"	"55"	"40"	"C"	"R"	"L"	"D"	"D"	"G"
"91"	91	1	" "	"12:517:09"	"STOP"	"OFFSIDE"	"14"	"20"	"49"	"26"	"76"	"31"	"C"	"L"	"L"	"D"	"D"	"G"	"46"	"12"	"17"	"43"	"55"	"40"	"C"	"R"	"L"	"D"	"D"	"G"
"92"	92	1	"EV"	"12:517:09"	"FAC"	"MTL won Neu. Zone - MTL #8 PRUST vs BOS #11 CAMPBELL"	"48"	"21"	"8"	"74"	"79"	"31"	"C"	"R"	"L"	"D"	"D"	"G"	"11"	"20"	"22"	"47"	"86"	"40"	"C"	"L"	"L"	"D"	"D"	"G"
"93"	93	1	"EV"	"13:026:58"	"HIT"	"MTL #48 BRIERE HIT BOS #47 KRUG, Off. Zone"	"48"	"21"	"8"	"40"	"43"	"31"	"C"	"R"	"L"	"D"	"D"	"G"	"11"	"20"	"22"	"47"	"86"	"40"	"C"	"L"	"L"	"D"	"D"	"G"
"94"	94	1	"EV"	"13:076:53"	"BLOCK"	"MTL #43 WEAVER BLOCKED BY  BOS #11 CAMPBELL, Wrist, Def. Zone"	"48"	"21"	"8"	"40"	"43"	"31"	"C"	"R"	"L"	"D"	"D"	"G"	"11"	"20"	"22"	"47"	"86"	"40"	"C"	"L"	"L"	"D"	"D"	"G"
"95"	95	1	"EV"	"13:146:46"	"HIT"	"BOS #22 THORNTON HIT MTL #40 BEAULIEU, Off. Zone"	"48"	"21"	"8"	"40"	"43"	"31"	"C"	"R"	"L"	"D"	"D"	"G"	"11"	"20"	"22"	"47"	"86"	"40"	"C"	"L"	"L"	"D"	"D"	"G"
"96"	96	1	" "	"13:276:33"	"STOP"	"ICING"	"48"	"21"	"8"	"40"	"43"	"31"	"C"	"R"	"L"	"D"	"D"	"G"	"11"	"20"	"22"	"47"	"86"	"40"	"C"	"L"	"L"	"D"	"D"	"G"
"97"	97	1	"EV"	"13:276:33"	"FAC"	"BOS won Def. Zone - MTL #51 DESHARNAIS vs BOS #37 BERGERON"	"51"	"11"	"67"	"74"	"79"	"31"	"C"	"R"	"L"	"D"	"D"	"G"	"11"	"37"	"22"	"47"	"86"	"40"	"C"	"C"	"L"	"D"	"D"	"G"
"98"	98	1	" "	"13:356:25"	"STOP"	"ICING"	"51"	"11"	"67"	"74"	"79"	"31"	"C"	"R"	"L"	"D"	"D"	"G"	"11"	"37"	"22"	"47"	"86"	"40"	"C"	"C"	"L"	"D"	"D"	"G"
"99"	99	1	"EV"	"13:356:25"	"FAC"	"BOS won Def. Zone - MTL #51 DESHARNAIS vs BOS #37 BERGERON"	"51"	"11"	"67"	"74"	"79"	"31"	"C"	"R"	"L"	"D"	"D"	"G"	"11"	"37"	"22"	"47"	"86"	"40"	"C"	"C"	"L"	"D"	"D"	"G"
"100"	100	1	"EV"	"13:436:17"	"GIVE"	"BOS GIVEAWAY - #86 MILLER, Def. Zone"	"51"	"11"	"67"	"74"	"79"	"31"	"C"	"R"	"L"	"D"	"D"	"G"	"11"	"37"	"22"	"47"	"86"	"40"	"C"	"C"	"L"	"D"	"D"	"G"
